district_id,source_province,source_district,source_name,normalized_name,match_method,confidence
TR-4948093e48,ADANA,ALADAĞ(KARSANTI),ADANA / ALADAĞ(KARSANTI),ADANA|ALADAG(KARSANTI),exact,1.0
TR-a45aec271b,ADANA,CEYHAN,ADANA / CEYHAN,ADANA|CEYHAN,exact,1.0
TR-679bca6028,ADANA,FEKE,ADANA / FEKE,ADANA|FEKE,exact,1.0
TR-668da2467f,ADANA,KARATAŞ,ADANA / KARATAŞ,ADANA|KARATAS,exact,1.0
TR-2367189f65,ADANA,KARAİSALI,ADANA / KARAİSALI,ADANA|KARAISALI,exact,1.0
TR-e45aa71f09,ADANA,KOZAN,ADANA / KOZAN,ADANA|KOZAN,exact,1.0
TR-848e2534ad,ADANA,POZANTI,ADANA / POZANTI,ADANA|POZANTI,exact,1.0
TR-0846081c38,ADANA,SARIÇAM,ADANA / SARIÇAM,ADANA|SARICAM,exact,1.0
TR-ee8ab05a8a,ADANA,SAİMBEYLİ,ADANA / SAİMBEYLİ,ADANA|SAIMBEYLI,exact,1.0
TR-494f5524ea,ADANA,SEYHAN,ADANA / SEYHAN,ADANA|SEYHAN,exact,1.0
TR-cb21a11f1e,ADANA,TUFANBEYLİ,ADANA / TUFANBEYLİ,ADANA|TUFANBEYLI,exact,1.0
TR-f94fdb03d6,ADANA,YUMURTALIK,ADANA / YUMURTALIK,ADANA|YUMURTALIK,exact,1.0
TR-c45fe58b1b,ADANA,YÜREĞİR,ADANA / YÜREĞİR,ADANA|YUREGIR,exact,1.0
TR-4790f44701,ADANA,ÇUKUROVA,ADANA / ÇUKUROVA,ADANA|CUKUROVA,exact,1.0
TR-5dee4381a9,ADANA,İMAMOĞLU,ADANA / İMAMOĞLU,ADANA|IMAMOGLU,exact,1.0
TR-5a7e9768da,ADIYAMAN,ADIYAMAN,ADIYAMAN / ADIYAMAN,ADIYAMAN|ADIYAMAN,exact,1.0
TR-74523917f0,ADIYAMAN,BESNİ,ADIYAMAN / BESNİ,ADIYAMAN|BESNI,exact,1.0
TR-d6d6cf5d06,ADIYAMAN,GERGER,ADIYAMAN / GERGER,ADIYAMAN|GERGER,exact,1.0
TR-67cf07fdc5,ADIYAMAN,GÖLBAŞI,ADIYAMAN / GÖLBAŞI,ADIYAMAN|GOLBASI,exact,1.0
TR-feeb3f26fc,ADIYAMAN,KAHTA,ADIYAMAN / KAHTA,ADIYAMAN|KAHTA,exact,1.0
TR-1b1e5b718b,ADIYAMAN,SAMSAT,ADIYAMAN / SAMSAT,ADIYAMAN|SAMSAT,exact,1.0
TR-50e0041070,ADIYAMAN,SİNCİK,ADIYAMAN / SİNCİK,ADIYAMAN|SINCIK,exact,1.0
TR-9356d84718,ADIYAMAN,TUT,ADIYAMAN / TUT,ADIYAMAN|TUT,exact,1.0
TR-686a46d004,ADIYAMAN,ÇELİKHAN,ADIYAMAN / ÇELİKHAN,ADIYAMAN|CELIKHAN,exact,1.0
TR-b5c0ee926c,AFYONKARAHİSAR,AFYON,AFYONKARAHİSAR / AFYON,AFYONKARAHISAR|AFYON,exact,1.0
TR-80fded3577,AFYONKARAHİSAR,BAYAT,AFYONKARAHİSAR / BAYAT,AFYONKARAHISAR|BAYAT,exact,1.0
TR-fa5bfdc185,AFYONKARAHİSAR,BAŞMAKÇI,AFYONKARAHİSAR / BAŞMAKÇI,AFYONKARAHISAR|BASMAKCI,exact,1.0
TR-c6bc10ba4d,AFYONKARAHİSAR,BOLVADİN,AFYONKARAHİSAR / BOLVADİN,AFYONKARAHISAR|BOLVADIN,exact,1.0
TR-f57aab8a72,AFYONKARAHİSAR,DAZKIRI,AFYONKARAHİSAR / DAZKIRI,AFYONKARAHISAR|DAZKIRI,exact,1.0
TR-4d5aff5b7c,AFYONKARAHİSAR,DİNAR,AFYONKARAHİSAR / DİNAR,AFYONKARAHISAR|DINAR,exact,1.0
TR-c2785fb5ac,AFYONKARAHİSAR,EMİRDAĞ,AFYONKARAHİSAR / EMİRDAĞ,AFYONKARAHISAR|EMIRDAG,exact,1.0
TR-1203bc61e4,AFYONKARAHİSAR,EVCİLER,AFYONKARAHİSAR / EVCİLER,AFYONKARAHISAR|EVCILER,exact,1.0
TR-12562bc4bc,AFYONKARAHİSAR,HOCALAR,AFYONKARAHİSAR / HOCALAR,AFYONKARAHISAR|HOCALAR,exact,1.0
TR-8295518cdc,AFYONKARAHİSAR,KIZILÖREN,AFYONKARAHİSAR / KIZILÖREN,AFYONKARAHISAR|KIZILOREN,exact,1.0
TR-d08a0f1953,AFYONKARAHİSAR,SANDIKLI,AFYONKARAHİSAR / SANDIKLI,AFYONKARAHISAR|SANDIKLI,exact,1.0
TR-ccd3dab284,AFYONKARAHİSAR,SULTANDAĞI,AFYONKARAHİSAR / SULTANDAĞI,AFYONKARAHISAR|SULTANDAGI,exact,1.0
TR-69a9402e4d,AFYONKARAHİSAR,SİNCANLI(SİNANPAŞA),AFYONKARAHİSAR / SİNCANLI(SİNANPAŞA),AFYONKARAHISAR|SINCANLI(SINANPASA),exact,1.0
TR-6ddff9f783,AFYONKARAHİSAR,ÇAY,AFYONKARAHİSAR / ÇAY,AFYONKARAHISAR|CAY,exact,1.0
TR-be39ec0254,AFYONKARAHİSAR,ÇOBANLAR,AFYONKARAHİSAR / ÇOBANLAR,AFYONKARAHISAR|COBANLAR,exact,1.0
TR-9021aee901,AFYONKARAHİSAR,İHSANİYE,AFYONKARAHİSAR / İHSANİYE,AFYONKARAHISAR|IHSANIYE,exact,1.0
TR-68aeeda422,AFYONKARAHİSAR,İSCEHİSAR,AFYONKARAHİSAR / İSCEHİSAR,AFYONKARAHISAR|ISCEHISAR,exact,1.0
TR-cafb020eb6,AFYONKARAHİSAR,ŞUHUT,AFYONKARAHİSAR / ŞUHUT,AFYONKARAHISAR|SUHUT,exact,1.0
TR-6f16a11fc2,AKSARAY,AKSARAY,AKSARAY / AKSARAY,AKSARAY|AKSARAY,exact,1.0
TR-c8784fd0d8,AKSARAY,AĞAÇÖREN,AKSARAY / AĞAÇÖREN,AKSARAY|AGACOREN,exact,1.0
TR-fc242b3d1e,AKSARAY,ESKİL,AKSARAY / ESKİL,AKSARAY|ESKIL,exact,1.0
TR-c4396dc867,AKSARAY,GÜLAĞAÇ,AKSARAY / GÜLAĞAÇ,AKSARAY|GULAGAC,exact,1.0
TR-544acc3c9a,AKSARAY,GÜZELYURT,AKSARAY / GÜZELYURT,AKSARAY|GUZELYURT,exact,1.0
TR-9ad3d1a559,AKSARAY,ORTAKÖY,AKSARAY / ORTAKÖY,AKSARAY|ORTAKOY,exact,1.0
TR-6648ff8a5b,AKSARAY,SARIYAHŞİ,AKSARAY / SARIYAHŞİ,AKSARAY|SARIYAHSI,exact,1.0
TR-da5269233e,AMASYA,AMASYA,AMASYA / AMASYA,AMASYA|AMASYA,exact,1.0
TR-0a72f01dbf,AMASYA,GÖYNÜCEK,AMASYA / GÖYNÜCEK,AMASYA|GOYNUCEK,exact,1.0
TR-43eb7eaade,AMASYA,GÜMÜŞHACIKÖY,AMASYA / GÜMÜŞHACIKÖY,AMASYA|GUMUSHACIKOY,exact,1.0
TR-f129ff52e3,AMASYA,HAMAMÖZÜ,AMASYA / HAMAMÖZÜ,AMASYA|HAMAMOZU,exact,1.0
TR-21329d25aa,AMASYA,MERZİFON,AMASYA / MERZİFON,AMASYA|MERZIFON,exact,1.0
TR-883bbdaf4e,AMASYA,SULUOVA,AMASYA / SULUOVA,AMASYA|SULUOVA,exact,1.0
TR-480f786894,AMASYA,TAŞOVA,AMASYA / TAŞOVA,AMASYA|TASOVA,exact,1.0
TR-9eb5e8efed,ANKARA,AKYURT,ANKARA / AKYURT,ANKARA|AKYURT,exact,1.0
TR-837842e348,ANKARA,ALTINDAĞ,ANKARA / ALTINDAĞ,ANKARA|ALTINDAG,exact,1.0
TR-cb507da01a,ANKARA,AYAŞ,ANKARA / AYAŞ,ANKARA|AYAS,exact,1.0
TR-d597002898,ANKARA,BALA,ANKARA / BALA,ANKARA|BALA,exact,1.0
TR-29b80d0f90,ANKARA,BEYPAZARI,ANKARA / BEYPAZARI,ANKARA|BEYPAZARI,exact,1.0
TR-09a5f9ff30,ANKARA,ELMADAĞ,ANKARA / ELMADAĞ,ANKARA|ELMADAG,exact,1.0
TR-9e551fa50a,ANKARA,ETİMESGUT,ANKARA / ETİMESGUT,ANKARA|ETIMESGUT,exact,1.0
TR-f39a65249d,ANKARA,EVREN,ANKARA / EVREN,ANKARA|EVREN,exact,1.0
TR-dbfb281000,ANKARA,GÖLBAŞI,ANKARA / GÖLBAŞI,ANKARA|GOLBASI,exact,1.0
TR-f97e5e1ba9,ANKARA,GÜDÜL,ANKARA / GÜDÜL,ANKARA|GUDUL,exact,1.0
TR-d3306ce52b,ANKARA,HAYMANA,ANKARA / HAYMANA,ANKARA|HAYMANA,exact,1.0
TR-eac996c856,ANKARA,KALECİK,ANKARA / KALECİK,ANKARA|KALECIK,exact,1.0
TR-9762ca9c14,ANKARA,KAZAN,ANKARA / KAZAN,ANKARA|KAZAN,exact,1.0
TR-48070a05e4,ANKARA,KEÇİÖREN,ANKARA / KEÇİÖREN,ANKARA|KECIOREN,exact,1.0
TR-636df42fd4,ANKARA,KIZILCAHAMAM,ANKARA / KIZILCAHAMAM,ANKARA|KIZILCAHAMAM,exact,1.0
TR-a333afd6a9,ANKARA,MAMAK,ANKARA / MAMAK,ANKARA|MAMAK,exact,1.0
TR-6c1a2652ae,ANKARA,NALLIHAN,ANKARA / NALLIHAN,ANKARA|NALLIHAN,exact,1.0
TR-43624fd43a,ANKARA,POLATLI,ANKARA / POLATLI,ANKARA|POLATLI,exact,1.0
TR-8d313ed00f,ANKARA,PURSAKLAR,ANKARA / PURSAKLAR,ANKARA|PURSAKLAR,exact,1.0
TR-a892ec7545,ANKARA,SİNCAN,ANKARA / SİNCAN,ANKARA|SINCAN,exact,1.0
TR-7e371242a1,ANKARA,YENİMAHALLE,ANKARA / YENİMAHALLE,ANKARA|YENIMAHALLE,exact,1.0
TR-3de3c0f731,ANKARA,ÇAMLIDERE,ANKARA / ÇAMLIDERE,ANKARA|CAMLIDERE,exact,1.0
TR-65fa7e7b7c,ANKARA,ÇANKAYA,ANKARA / ÇANKAYA,ANKARA|CANKAYA,exact,1.0
TR-37c51146c8,ANKARA,ÇUBUK,ANKARA / ÇUBUK,ANKARA|CUBUK,exact,1.0
TR-fe542d4a1c,ANKARA,ŞEREFLİKOÇHİSAR,ANKARA / ŞEREFLİKOÇHİSAR,ANKARA|SEREFLIKOCHISAR,exact,1.0
TR-34b8c10cb6,ANTALYA,AKSEKİ,ANTALYA / AKSEKİ,ANTALYA|AKSEKI,exact,1.0
TR-0c77eda402,ANTALYA,AKSU,ANTALYA / AKSU,ANTALYA|AKSU,exact,1.0
TR-25d23dcca7,ANTALYA,ALANYA,ANTALYA / ALANYA,ANTALYA|ALANYA,exact,1.0
