district_id,province,district,yuzey_alani_km2,tesvik_bolgesi,kayit_sayisi
TR-4948093e48,ADANA,ALADAĞ(KARSANTI),0,2.0,365
TR-a45aec271b,ADANA,CEYHAN,1426,2.0,365
TR-679bca6028,ADANA,FEKE,1218,2.0,365
TR-668da2467f,ADANA,KARATAŞ,862,2.0,365
TR-2367189f65,ADANA,KARAİSALI,1165,2.0,365
TR-e45aa71f09,ADANA,KOZAN,1903,2.0,365
TR-848e2534ad,ADANA,POZANTI,899,2.0,365
TR-0846081c38,ADANA,SARIÇAM,770,2.0,365
TR-ee8ab05a8a,ADANA,SAİMBEYLİ,989,2.0,365
TR-494f5524ea,ADANA,SEYHAN,444,2.0,365
TR-cb21a11f1e,ADANA,TUFANBEYLİ,851,2.0,365
TR-f94fdb03d6,ADANA,YUMURTALIK,447,2.0,365
TR-c45fe58b1b,ADANA,YÜREĞİR,835,2.0,365
TR-4790f44701,ADANA,ÇUKUROVA,250,2.0,365
TR-5dee4381a9,ADANA,İMAMOĞLU,445,2.0,365
TR-5a7e9768da,ADIYAMAN,ADIYAMAN,0,5.0,365
TR-74523917f0,ADIYAMAN,BESNİ,1235,5.0,365
TR-d6d6cf5d06,ADIYAMAN,GERGER,668,5.0,365
TR-67cf07fdc5,ADIYAMAN,GÖLBAŞI,800,5.0,365
TR-feeb3f26fc,ADIYAMAN,KAHTA,0,5.0,365
TR-1b1e5b718b,ADIYAMAN,SAMSAT,319,5.0,365
TR-50e0041070,ADIYAMAN,SİNCİK,495,5.0,365
TR-9356d84718,ADIYAMAN,TUT,290,5.0,365
TR-686a46d004,ADIYAMAN,ÇELİKHAN,444,5.0,365
TR-b5c0ee926c,AFYONKARAHİSAR,AFYON,0,3.0,365
TR-80fded3577,AFYONKARAHİSAR,BAYAT,411,3.0,365
TR-fa5bfdc185,AFYONKARAHİSAR,BAŞMAKÇI,361,3.0,365
TR-c6bc10ba4d,AFYONKARAHİSAR,BOLVADİN,944,3.0,365
TR-f57aab8a72,AFYONKARAHİSAR,DAZKIRI,408,3.0,365
TR-4d5aff5b7c,AFYONKARAHİSAR,DİNAR,1254,3.0,365
