il,ilce,yuzey_sinifi
ADANA,ALADAĞ(KARSANTI),Orman_ve_Doğa
ADANA,CEYHAN,Şehir_Yerleşimi
ADANA,ÇUKUROVA,Şehir_Yerleşimi
ADANA,FEKE,Tarım_Arazisi
ADANA,İMAMOĞLU,Şehir_Yerleşimi
ADANA,KARAİSALI,Şehir_Yerleşimi
ADANA,KARATAŞ,Şehir_Yerleşimi
ADANA,KOZAN,Şehir_Yerleşimi
ADANA,POZANTI,Şehir_Yerleşimi
ADANA,SAİMBEYLİ,Şehir_Yerleşimi
ADANA,SARIÇAM,Şehir_Yerleşimi
ADANA,SEYHAN,Şehir_Yerleşimi
ADANA,TUFANBEYLİ,Şehir_Yerleşimi
ADANA,YUMURTALIK,Su_Yüzeyi
ADANA,YÜREĞİR,Şehir_Yerleşimi
ADIYAMAN,ADIYAMAN,Şehir_Yerleşimi
ADIYAMAN,BESNİ,Şehir_Yerleşimi
ADIYAMAN,ÇELİKHAN,Şehir_Yerleşimi
ADIYAMAN,GERGER,Şehir_Yerleşimi
ADIYAMAN,GÖLBAŞI,Şehir_Yerleşimi
ADIYAMAN,KAHTA,Şehir_Yerleşimi
ADIYAMAN,SAMSAT,Şehir_Yerleşimi
ADIYAMAN,SİNCİK,Orman_ve_Doğa
ADIYAMAN,TUT,Şehir_Yerleşimi
AFYONKARAHİSAR,AFYON,Şehir_Yerleşimi
AFYONKARAHİSAR,BAŞMAKÇI,Şehir_Yerleşimi
AFYONKARAHİSAR,BAYAT,Tarım_Arazisi
AFYONKARAHİSAR,BOLVADİN,Şehir_Yerleşimi
AFYONKARAHİSAR,ÇAY,Şehir_Yerleşimi
AFYONKARAHİSAR,ÇOBANLAR,Şehir_Yerleşimi
AFYONKARAHİSAR,DAZKIRI,Şehir_Yerleşimi
AFYONKARAHİSAR,DİNAR,Şehir_Yerleşimi
AFYONKARAHİSAR,EMİRDAĞ,Şehir_Yerleşimi
AFYONKARAHİSAR,EVCİLER,Şehir_Yerleşimi
AFYONKARAHİSAR,HOCALAR,Tarım_Arazisi
AFYONKARAHİSAR,İHSANİYE,Şehir_Yerleşimi
AFYONKARAHİSAR,İSCEHİSAR,Şehir_Yerleşimi
AFYONKARAHİSAR,KIZILÖREN,Şehir_Yerleşimi
AFYONKARAHİSAR,SANDIKLI,Şehir_Yerleşimi
AFYONKARAHİSAR,SİNCANLI(SİNANPAŞA),Şehir_Yerleşimi
AFYONKARAHİSAR,SULTANDAĞI,Şehir_Yerleşimi
AFYONKARAHİSAR,ŞUHUT,Şehir_Yerleşimi
AĞRI,AĞRI,Şehir_Yerleşimi
AĞRI,DİYADİN,Şehir_Yerleşimi
AĞRI,DOĞUBAYAZIT(DOĞUBEYAZIT),Şehir_Yerleşimi
AĞRI,ELEŞKİRT,Şehir_Yerleşimi
AĞRI,HAMUR,Şehir_Yerleşimi
AĞRI,PATNOS,Şehir_Yerleşimi
AĞRI,TAŞLIÇAY,Şehir_Yerleşimi
AĞRI,TUTAK,Şehir_Yerleşimi
AMASYA,AMASYA,Şehir_Yerleşimi
AMASYA,GÖYNÜCEK,Şehir_Yerleşimi
AMASYA,GÜMÜŞHACIKÖY,Şehir_Yerleşimi
AMASYA,HAMAMÖZÜ,Şehir_Yerleşimi
AMASYA,MERZİFON,Şehir_Yerleşimi
AMASYA,SULUOVA,Şehir_Yerleşimi
AMASYA,TAŞOVA,Şehir_Yerleşimi
ANKARA,AKYURT,Şehir_Yerleşimi
ANKARA,ALTINDAĞ,Şehir_Yerleşimi
ANKARA,AYAŞ,Şehir_Yerleşimi
ANKARA,BALA,Şehir_Yerleşimi
ANKARA,BEYPAZARI,Şehir_Yerleşimi
ANKARA,ÇAMLIDERE,Şehir_Yerleşimi
ANKARA,ÇANKAYA,Tarım_Arazisi
ANKARA,ÇUBUK,Şehir_Yerleşimi
ANKARA,ELMADAĞ,Şehir_Yerleşimi
ANKARA,ETİMESGUT,Şehir_Yerleşimi
ANKARA,EVREN,Şehir_Yerleşimi
ANKARA,GÖLBAŞI,Şehir_Yerleşimi
ANKARA,GÜDÜL,Şehir_Yerleşimi
ANKARA,HAYMANA,Şehir_Yerleşimi
ANKARA,KALECİK,Şehir_Yerleşimi
ANKARA,KAZAN,Tarım_Arazisi
ANKARA,KEÇİÖREN,Tarım_Arazisi
ANKARA,KIZILCAHAMAM,Şehir_Yerleşimi
ANKARA,MAMAK,Tarım_Arazisi
ANKARA,NALLIHAN,Orman_ve_Doğa
ANKARA,POLATLI,Şehir_Yerleşimi
ANKARA,PURSAKLAR,Şehir_Yerleşimi
ANKARA,SİNCAN,Şehir_Yerleşimi
ANKARA,ŞEREFLİKOÇHİSAR,Orman_ve_Doğa
