il,ilce,yuzey_alani_km2
ADANA,ALADAĞ,1340.0
ADANA,CEYHAN,1426.0
ADANA,ÇUKUROVA,250.0
ADANA,FEKE,1218.0
ADANA,İMAMOĞLU,445.0
ADANA,KARAİSALI,1165.0
ADANA,KARATAŞ,862.0
ADANA,KOZAN,1903.0
ADANA,POZANTI,899.0
ADANA,SAİMBEYLİ,989.0
ADANA,SARIÇAM,770.0
ADANA,SEYHAN,444.0
ADANA,TUFANBEYLİ,851.0
ADANA,YUMURTALIK,447.0
ADANA,YÜREĞİR,835.0
ADIYAMAN,ADIYAMAN_MERKEZ,1814.0
ADIYAMAN,BESNİ,1235.0
ADIYAMAN,ÇELİKHAN,444.0
ADIYAMAN,GERGER,668.0
ADIYAMAN,GÖLBAŞI,800.0
ADIYAMAN,KÂHTA,1274.0
ADIYAMAN,SAMSAT,319.0
ADIYAMAN,SİNCİK,495.0
ADIYAMAN,TUT,290.0
AFYONKARAHİSAR,AFYONKARAHİSAR_MERKEZ,1261.0
AFYONKARAHİSAR,BAŞMAKÇI,361.0
AFYONKARAHİSAR,BAYAT,411.0
AFYONKARAHİSAR,BOLVADİN,944.0
AFYONKARAHİSAR,ÇAY,803.0
AFYONKARAHİSAR,ÇOBANLAR,165.0
AFYONKARAHİSAR,DAZKIRI,408.0
AFYONKARAHİSAR,DİNAR,1254.0
AFYONKARAHİSAR,EMİRDAĞ,2103.0
AFYONKARAHİSAR,EVCİLER,252.0
AFYONKARAHİSAR,HOCALAR,506.0
AFYONKARAHİSAR,İHSANİYE,849.0
AFYONKARAHİSAR,İSCEHİSAR,489.0
AFYONKARAHİSAR,KIZILÖREN,111.0
AFYONKARAHİSAR,SANDIKLI,1238.0
AFYONKARAHİSAR,SİNANPAŞA,889.0
AFYONKARAHİSAR,SULTANDAĞI,928.0
AFYONKARAHİSAR,ŞUHUT,1044.0
AĞRI,AĞRI_MERKEZ,1695.0
AĞRI,DİYADİN,1351.0
AĞRI,DOĞUBAYAZIT,2250.0
AĞRI,ELEŞKİRT,1307.0
AĞRI,HAMUR,873.0
AĞRI,PATNOS,1394.0
AĞRI,TAŞLIÇAY,822.0
AĞRI,TUTAK,1407.0
AKSARAY,AĞAÇÖREN,407.0
AKSARAY,AKSARAY_MERKEZ,3540.0
AKSARAY,ESKİL,1701.0
AKSARAY,GÜLAĞAÇ,326.0
AKSARAY,GÜZELYURT,285.0
AKSARAY,ORTAKÖY,727.0
AKSARAY,SARIYAHŞİ,210.0
AKSARAY,SULTANHANI,463.0
AMASYA,AMASYA_MERKEZ,1889.0
AMASYA,GÖYNÜCEK,591.0
AMASYA,GÜMÜŞHACIKÖY,629.0
AMASYA,HAMAMÖZÜ,204.0
AMASYA,MERZİFON,888.0
AMASYA,SULUOVA,456.0
AMASYA,TAŞOVA,971.0
ANKARA,AKYURT,369.0
ANKARA,ALTINDAĞ,123.0
ANKARA,AYAŞ,1041.0
ANKARA,BALA,1851.0
ANKARA,BEYPAZARI,1697.0
ANKARA,ÇAMLIDERE,782.0
ANKARA,ÇANKAYA,483.0
ANKARA,ÇUBUK,1198.0
ANKARA,ELMADAĞ,647.0
ANKARA,ETİMESGUT,273.0
ANKARA,EVREN,222.0
ANKARA,GÖLBAŞI,1364.0
